"","union","performance","framing","id","group","round","trial","overextraction","observer","overext_observed","report","punished","round_profit"
"165",1,1,1,1605,1,23,0,0,1,41,0,0,840
"166",1,1,1,1926,2,23,0,0,0,-1,0,0,590
"167",1,1,1,2247,2,23,0,2,0,-1,0,0,620
"168",1,1,1,2568,2,23,0,0,1,0,0,0,590
"169",1,1,1,2889,1,23,0,41,0,-1,0,0,1210
"170",1,1,1,3210,1,23,0,0,1,5,1,0,590
"171",1,1,1,321,2,24,0,25,1,0,0,0,980
"172",1,1,1,642,1,24,0,50,1,35,1,0,1070
"173",1,1,1,963,2,24,0,50,1,0,0,0,1360
"174",1,1,1,1284,1,24,0,50,-1,-1,0,0,1070
"175",1,1,1,1605,1,24,0,0,1,0,0,0,320
"176",1,1,1,1926,2,24,0,0,0,-1,0,0,610
"177",1,1,1,2247,2,24,0,3,-1,-1,0,0,650
"178",1,1,1,2568,2,24,0,0,0,-1,0,0,610
"179",1,1,1,2889,1,24,0,35,0,-1,0,1,0
"180",1,1,1,3210,1,24,0,0,0,-1,0,0,320
"181",1,1,1,321,2,25,0,40,0,-1,0,1,0
"182",1,1,1,642,1,25,0,50,0,-1,0,1,0
"183",1,1,1,963,2,25,0,50,1,0,0,0,1280
"184",1,1,1,1284,1,25,0,5,0,-1,0,1,0
"185",1,1,1,1605,1,25,0,0,-1,-1,0,0,520
"186",1,1,1,1926,2,25,0,0,0,-1,0,0,530
"187",1,1,1,2247,2,25,0,3,1,40,1,0,580
"188",1,1,1,2568,2,25,0,0,-1,-1,0,0,530
"189",1,1,1,2889,1,25,0,41,1,50,1,0,1130
"190",1,1,1,3210,1,25,0,0,1,5,1,0,520
"191",1,1,1,321,2,26,0,30,1,0,0,0,1030
"192",1,1,1,642,1,26,0,50,1,0,0,0,1410
"193",1,1,1,963,2,26,0,50,1,3,0,0,1580
"194",1,1,1,1284,1,26,0,5,0,-1,0,0,740
"195",1,1,1,1605,1,26,0,0,1,5,0,0,910
"196",1,1,1,1926,2,26,0,0,-1,-1,0,0,580
"197",1,1,1,2247,2,26,0,3,0,-1,0,0,630
"198",1,1,1,2568,2,26,0,0,0,-1,0,0,580
"199",1,1,1,2889,1,26,0,12,-1,-1,0,0,840
"200",1,1,1,3210,1,26,0,0,0,-1,0,0,660
"201",1,1,2,321,1,4,0,50,-1,-1,0,0,620
"202",1,1,2,642,2,4,0,0,-1,-1,0,0,590
"203",1,1,2,963,2,4,0,5,-1,-1,0,0,670
"204",1,1,2,1284,2,4,0,50,-1,-1,0,0,1340
"205",1,1,2,1605,1,4,0,45,-1,-1,0,0,550
"206",1,1,2,1926,2,4,0,25,-1,-1,0,0,970
"207",1,1,2,2247,2,4,0,1,-1,-1,0,0,610
"208",1,1,2,2568,1,4,0,50,-1,-1,0,0,620
"209",1,1,2,2889,1,4,0,40,-1,-1,0,0,470
"210",1,1,2,3210,1,4,0,40,-1,-1,0,0,470
"211",1,1,2,321,1,5,0,50,-1,-1,0,0,900
"212",1,1,2,642,2,5,0,0,-1,-1,0,0,710
"213",1,1,2,963,2,5,0,5,-1,-1,0,0,780
"214",1,1,2,1284,2,5,0,50,-1,-1,0,0,1460
"215",1,1,2,1605,1,5,0,40,-1,-1,0,0,750
"216",1,1,2,1926,2,5,0,1,-1,-1,0,0,720
"217",1,1,2,2247,2,5,0,2,-1,-1,0,0,740
"218",1,1,2,2568,1,5,0,40,-1,-1,0,0,750
"219",1,1,2,2889,1,5,0,10,-1,-1,0,0,300
"220",1,1,2,3210,1,5,0,30,-1,-1,0,0,600
"221",1,1,2,321,1,6,0,50,-1,-1,0,0,800
"222",1,1,2,642,2,6,0,0,-1,-1,0,0,520
"223",1,1,2,963,2,6,0,5,-1,-1,0,0,590
"224",1,1,2,1284,2,6,0,50,-1,-1,0,0,1270
"225",1,1,2,1605,1,6,0,40,-1,-1,0,0,650
"226",1,1,2,1926,2,6,0,25,-1,-1,0,0,890
"227",1,1,2,2247,2,6,0,16,-1,-1,0,0,760
"228",1,1,2,2568,1,6,0,30,-1,-1,0,0,500
"229",1,1,2,2889,1,6,0,50,-1,-1,0,0,800
"230",1,1,2,3210,1,6,0,20,-1,-1,0,0,350
"231",1,1,2,321,1,7,0,50,-1,-1,0,0,720
"232",1,1,2,642,2,7,0,0,-1,-1,0,0,540
"233",1,1,2,963,2,7,0,5,-1,-1,0,0,610
"234",1,1,2,1284,2,7,0,50,-1,-1,0,0,1290
"235",1,1,2,1605,1,7,0,35,-1,-1,0,0,500
"236",1,1,2,1926,2,7,0,25,-1,-1,0,0,910
"237",1,1,2,2247,2,7,0,12,-1,-1,0,0,720
"238",1,1,2,2568,1,7,0,30,-1,-1,0,0,420
"239",1,1,2,2889,1,7,0,50,-1,-1,0,0,720
"240",1,1,2,3210,1,7,0,40,-1,-1,0,0,570
"241",1,1,2,321,1,8,0,50,-1,-1,0,0,870
"242",1,1,2,642,2,8,0,0,-1,-1,0,0,660
"243",1,1,2,963,2,8,0,5,-1,-1,0,0,730
"244",1,1,2,1284,2,8,0,50,-1,-1,0,0,1410
"245",1,1,2,1605,1,8,0,25,-1,-1,0,0,500
"246",1,1,2,1926,2,8,0,1,-1,-1,0,0,670
"247",1,1,2,2247,2,8,0,12,-1,-1,0,0,840
"248",1,1,2,2568,1,8,0,10,-1,-1,0,0,270
"249",1,1,2,2889,1,8,0,50,-1,-1,0,0,870
"250",1,1,2,3210,1,8,0,40,-1,-1,0,0,720
"251",1,1,2,321,1,9,0,50,-1,-1,0,0,760
"252",1,1,2,642,2,9,0,20,-1,-1,0,0,780
"253",1,1,2,963,2,9,0,5,-1,-1,0,0,550
"254",1,1,2,1284,2,9,0,50,-1,-1,0,0,1230
"255",1,1,2,1605,1,9,0,48,-1,-1,0,0,730
"256",1,1,2,1926,2,9,0,15,-1,-1,0,0,700
"257",1,1,2,2247,2,9,0,14,-1,-1,0,0,690
"258",1,1,2,2568,1,9,0,10,-1,-1,0,0,160
"259",1,1,2,2889,1,9,0,50,-1,-1,0,0,760
"260",1,1,2,3210,1,9,0,40,-1,-1,0,0,610
"261",1,1,2,321,1,10,0,50,-1,-1,0,0,880
"262",1,1,2,642,2,10,0,20,-1,-1,0,0,560
"263",1,1,2,963,2,10,0,10,-1,-1,0,0,410
"264",1,1,2,1284,2,10,0,50,-1,-1,0,0,1010
"265",1,1,2,1605,1,10,0,38,-1,-1,0,0,700
"266",1,1,2,1926,2,10,0,25,-1,-1,0,0,640
"267",1,1,2,2247,2,10,0,42,-1,-1,0,0,890
"268",1,1,2,2568,1,10,0,5,-1,-1,0,0,210
"269",1,1,2,2889,1,10,0,40,-1,-1,0,0,730
"270",1,1,2,3210,1,10,0,40,-1,-1,0,0,730
"271",1,1,2,321,1,11,0,50,-1,-1,0,0,780
"272",1,1,2,642,2,11,0,20,-1,-1,0,0,820
"273",1,1,2,963,2,11,0,0,-1,-1,0,0,520
"274",1,1,2,1284,2,11,0,50,-1,-1,0,0,1270
"275",1,1,2,1605,1,11,0,50,-1,-1,0,0,780
"276",1,1,2,1926,2,11,0,15,-1,-1,0,0,740
"277",1,1,2,2247,2,11,0,11,-1,-1,0,0,680
"278",1,1,2,2568,1,11,0,4,-1,-1,0,0,90
"279",1,1,2,2889,1,11,0,50,-1,-1,0,0,780
"280",1,1,2,3210,1,11,0,40,-1,-1,0,0,630
"281",1,1,2,321,1,12,0,50,-1,-1,0,0,830
"282",1,1,2,642,2,12,0,20,-1,-1,0,0,780
"283",1,1,2,963,2,12,0,2,-1,-1,0,0,510
"284",1,1,2,1284,2,12,0,45,-1,-1,0,0,1150
"285",1,1,2,1605,1,12,0,40,-1,-1,0,0,680
"286",1,1,2,1926,2,12,0,25,-1,-1,0,0,850
"287",1,1,2,2247,2,12,0,12,-1,-1,0,0,660
"288",1,1,2,2568,1,12,0,3,-1,-1,0,0,130
"289",1,1,2,2889,1,12,0,50,-1,-1,0,0,830
"290",1,1,2,3210,1,12,0,40,-1,-1,0,0,680
"291",1,1,2,321,1,13,0,50,-1,-1,0,0,770
"292",1,1,2,642,2,13,0,20,-1,-1,0,0,770
"293",1,1,2,963,2,13,0,0,-1,-1,0,0,470
"294",1,1,2,1284,2,13,0,50,-1,-1,0,0,1220
"295",1,1,2,1605,1,13,0,30,-1,-1,0,0,470
"296",1,1,2,1926,2,13,0,15,-1,-1,0,0,700
"297",1,1,2,2247,2,13,0,20,-1,-1,0,0,770
"298",1,1,2,2568,1,13,0,25,-1,-1,0,0,400
"299",1,1,2,2889,1,13,0,50,-1,-1,0,0,770
"300",1,1,2,3210,1,13,0,40,-1,-1,0,0,620
"301",1,1,2,321,1,17,0,50,0,-1,0,1,0
"302",1,1,2,642,2,17,0,0,-1,-1,0,0,690
"303",1,1,2,963,2,17,0,5,0,-1,0,0,770
"304",1,1,2,1284,2,17,0,40,1,15,1,0,1290
"305",1,1,2,1605,1,17,0,35,1,40,0,0,850
"306",1,1,2,1926,2,17,0,15,0,-1,0,1,0
"307",1,1,2,2247,2,17,0,1,1,5,0,0,960
"308",1,1,2,2568,1,17,0,10,-1,-1,0,0,220
"309",1,1,2,2889,1,17,0,50,1,50,1,0,820
"310",1,1,2,3210,1,17,0,40,0,-1,0,0,670
"311",1,1,2,321,1,18,0,50,0,-1,0,0,950
"312",1,1,2,642,2,18,0,0,0,-1,0,0,660
"313",1,1,2,963,2,18,0,5,0,-1,0,1,0
"314",1,1,2,1284,2,18,0,35,-1,-1,0,0,1190
"315",1,1,2,1605,1,18,0,25,1,40,1,0,570
"316",1,1,2,1926,2,18,0,15,1,5,1,0,890
"317",1,1,2,2247,2,18,0,12,1,0,0,0,840
"318",1,1,2,2568,1,18,0,5,-1,-1,0,0,270
"319",1,1,2,2889,1,18,0,40,0,-1,0,1,0
"320",1,1,2,3210,1,18,0,40,1,50,0,0,1050
"321",1,1,2,321,1,19,0,50,1,50,0,0,1150
"322",1,1,2,642,2,19,0,0,-1,-1,0,0,590
"323",1,1,2,963,2,19,0,0,0,-1,0,0,590
"324",1,1,2,1284,2,19,0,45,1,0,0,0,1260
"325",1,1,2,1605,1,19,0,25,0,-1,0,0,530
"326",1,1,2,1926,2,19,0,25,0,-1,0,1,0
"327",1,1,2,2247,2,19,0,12,1,25,1,0,770
"328",1,1,2,2568,1,19,0,4,-1,-1,0,0,210
"329",1,1,2,2889,1,19,0,50,0,-1,0,0,900
"330",1,1,2,3210,1,19,0,40,1,25,0,0,1000
