union,performance ,framing,id ,group,round,trial,overextraction,observer,overext_observed,report,punished,round_profit
1,1,1,2247,2,24,0,3,-1,-1,0,0,650
1,1,1,2568,2,24,0,0,0,-1,0,0,610
1,1,1,2889,1,24,0,35,0,-1,0,1,0
1,1,1,3210,1,24,0,0,0,-1,0,0,320
1,1,1,321,2,25,0,40,0,-1,0,1,0
1,1,1,642,1,25,0,50,0,-1,0,1,0
1,1,1,963,2,25,0,50,1,0,0,0,1280
1,1,1,1284,1,25,0,5,0,-1,0,1,0
1,1,1,1605,1,25,0,0,-1,-1,0,0,520
1,1,1,1926,2,25,0,0,0,-1,0,0,530
1,1,1,2247,2,25,0,3,1,40,1,0,580
1,1,1,2568,2,25,0,0,-1,-1,0,0,530
1,1,1,2889,1,25,0,41,1,50,1,0,1130
1,1,1,3210,1,25,0,0,1,5,1,0,520
1,1,1,321,2,26,0,30,1,0,0,0,1030
1,1,1,642,1,26,0,50,1,0,0,0,1410
1,1,1,963,2,26,0,50,1,3,0,0,1580
1,1,1,1284,1,26,0,5,0,-1,0,0,740
1,1,1,1605,1,26,0,0,1,5,0,0,910
1,1,1,1926,2,26,0,0,-1,-1,0,0,580
1,1,1,2247,2,26,0,3,0,-1,0,0,630
1,1,1,2568,2,26,0,0,0,-1,0,0,580
1,1,1,2889,1,26,0,12,-1,-1,0,0,840
1,1,1,3210,1,26,0,0,0,-1,0,0,660
1,1,2,321,1,1,1,50,-1,-1,0,0,0
1,1,2,642,2,1,1,0,-1,-1,0,0,0
1,1,2,963,2,1,1,0,-1,-1,0,0,0
1,1,2,1284,2,1,1,30,-1,-1,0,0,0
1,1,2,1605,1,1,1,0,-1,-1,0,0,0
1,1,2,1926,2,1,1,25,-1,-1,0,0,0
1,1,2,2247,2,1,1,1,-1,-1,0,0,0
1,1,2,2568,1,1,1,50,-1,-1,0,0,0
1,1,2,2889,1,1,1,30,-1,-1,0,0,0
1,1,2,3210,1,1,1,40,-1,-1,0,0,0
1,1,2,321,1,2,1,50,-1,-1,0,0,0
1,1,2,642,2,2,1,0,-1,-1,0,0,0
1,1,2,963,2,2,1,0,-1,-1,0,0,0
1,1,2,1284,2,2,1,45,-1,-1,0,0,0
1,1,2,1605,1,2,1,20,-1,-1,0,0,0
1,1,2,1926,2,2,1,15,-1,-1,0,0,0
1,1,2,2247,2,2,1,1,-1,-1,0,0,0
1,1,2,2568,1,2,1,25,-1,-1,0,0,0
1,1,2,2889,1,2,1,50,-1,-1,0,0,0
1,1,2,3210,1,2,1,40,-1,-1,0,0,0
1,1,2,321,1,3,1,50,-1,-1,0,0,0
1,1,2,642,2,3,1,0,-1,-1,0,0,0
1,1,2,963,2,3,1,0,-1,-1,0,0,0
1,1,2,1284,2,3,1,50,-1,-1,0,0,0
1,1,2,1605,1,3,1,50,-1,-1,0,0,0
1,1,2,1926,2,3,1,15,-1,-1,0,0,0
1,1,2,2247,2,3,1,1,-1,-1,0,0,0
1,1,2,2568,1,3,1,30,-1,-1,0,0,0
1,1,2,2889,1,3,1,50,-1,-1,0,0,0
1,1,2,3210,1,3,1,40,-1,-1,0,0,0
1,1,2,321,1,4,0,50,-1,-1,0,0,620
1,1,2,642,2,4,0,0,-1,-1,0,0,590
1,1,2,963,2,4,0,5,-1,-1,0,0,670
1,1,2,1284,2,4,0,50,-1,-1,0,0,1340
1,1,2,1605,1,4,0,45,-1,-1,0,0,550
1,1,2,1926,2,4,0,25,-1,-1,0,0,970
1,1,2,2247,2,4,0,1,-1,-1,0,0,610
1,1,2,2568,1,4,0,50,-1,-1,0,0,620
1,1,2,2889,1,4,0,40,-1,-1,0,0,470
1,1,2,3210,1,4,0,40,-1,-1,0,0,470
1,1,2,321,1,5,0,50,-1,-1,0,0,900
1,1,2,642,2,5,0,0,-1,-1,0,0,710
1,1,2,963,2,5,0,5,-1,-1,0,0,780
1,1,2,1284,2,5,0,50,-1,-1,0,0,1460
1,1,2,1605,1,5,0,40,-1,-1,0,0,750
1,1,2,1926,2,5,0,1,-1,-1,0,0,720
1,1,2,2247,2,5,0,2,-1,-1,0,0,740
1,1,2,2568,1,5,0,40,-1,-1,0,0,750
1,1,2,2889,1,5,0,10,-1,-1,0,0,300
1,1,2,3210,1,5,0,30,-1,-1,0,0,600
1,1,2,321,1,6,0,50,-1,-1,0,0,800
1,1,2,642,2,6,0,0,-1,-1,0,0,520
1,1,2,963,2,6,0,5,-1,-1,0,0,590
1,1,2,1284,2,6,0,50,-1,-1,0,0,1270
1,1,2,1605,1,6,0,40,-1,-1,0,0,650
1,1,2,1926,2,6,0,25,-1,-1,0,0,890
1,1,2,2247,2,6,0,16,-1,-1,0,0,760
1,1,2,2568,1,6,0,30,-1,-1,0,0,500
1,1,2,2889,1,6,0,50,-1,-1,0,0,800
1,1,2,3210,1,6,0,20,-1,-1,0,0,350
1,1,2,321,1,7,0,50,-1,-1,0,0,720
1,1,2,642,2,7,0,0,-1,-1,0,0,540
1,1,2,963,2,7,0,5,-1,-1,0,0,610
1,1,2,1284,2,7,0,50,-1,-1,0,0,1290
1,1,2,1605,1,7,0,35,-1,-1,0,0,500
1,1,2,1926,2,7,0,25,-1,-1,0,0,910
1,1,2,2247,2,7,0,12,-1,-1,0,0,720
1,1,2,2568,1,7,0,30,-1,-1,0,0,420
1,1,2,2889,1,7,0,50,-1,-1,0,0,720
1,1,2,3210,1,7,0,40,-1,-1,0,0,570
1,1,2,321,1,8,0,50,-1,-1,0,0,870
1,1,2,642,2,8,0,0,-1,-1,0,0,660
1,1,2,963,2,8,0,5,-1,-1,0,0,730
1,1,2,1284,2,8,0,50,-1,-1,0,0,1410
1,1,2,1605,1,8,0,25,-1,-1,0,0,500
1,1,2,1926,2,8,0,1,-1,-1,0,0,670
1,1,2,2247,2,8,0,12,-1,-1,0,0,840
1,1,2,2568,1,8,0,10,-1,-1,0,0,270
1,1,2,2889,1,8,0,50,-1,-1,0,0,870
1,1,2,3210,1,8,0,40,-1,-1,0,0,720
1,1,2,321,1,9,0,50,-1,-1,0,0,760
1,1,2,642,2,9,0,20,-1,-1,0,0,780
1,1,2,963,2,9,0,5,-1,-1,0,0,550
1,1,2,1284,2,9,0,50,-1,-1,0,0,1230
1,1,2,1605,1,9,0,48,-1,-1,0,0,730
1,1,2,1926,2,9,0,15,-1,-1,0,0,700
1,1,2,2247,2,9,0,14,-1,-1,0,0,690
1,1,2,2568,1,9,0,10,-1,-1,0,0,160
1,1,2,2889,1,9,0,50,-1,-1,0,0,760
1,1,2,3210,1,9,0,40,-1,-1,0,0,610
1,1,2,321,1,10,0,50,-1,-1,0,0,880
1,1,2,642,2,10,0,20,-1,-1,0,0,560
1,1,2,963,2,10,0,10,-1,-1,0,0,410
1,1,2,1284,2,10,0,50,-1,-1,0,0,1010
1,1,2,1605,1,10,0,38,-1,-1,0,0,700
1,1,2,1926,2,10,0,25,-1,-1,0,0,640
1,1,2,2247,2,10,0,42,-1,-1,0,0,890
1,1,2,2568,1,10,0,5,-1,-1,0,0,210
1,1,2,2889,1,10,0,40,-1,-1,0,0,730
