"union","performance","framing","id","group_id","round","overextraction","observer","overext_observed","report","punished","round_profit"
1,1,2,"321012","112",4,40,NA,NA,NA,NA,570
1,1,2,"32112","112",5,50,NA,NA,NA,NA,870
1,1,2,"64212","122",5,0,NA,NA,NA,NA,660
1,1,2,"96312","122",5,5,NA,NA,NA,NA,730
1,1,2,"128412","122",5,50,NA,NA,NA,NA,1410
1,1,2,"160512","112",5,25,NA,NA,NA,NA,500
1,1,2,"192612","122",5,1,NA,NA,NA,NA,670
1,1,2,"224712","122",5,12,NA,NA,NA,NA,840
1,1,2,"256812","112",5,10,NA,NA,NA,NA,270
1,1,2,"288912","112",5,50,NA,NA,NA,NA,870
1,1,2,"321012","112",5,40,NA,NA,NA,NA,720
1,1,2,"32112","112",6,50,NA,NA,NA,NA,760
1,1,2,"64212","122",6,20,NA,NA,NA,NA,780
1,1,2,"96312","122",6,5,NA,NA,NA,NA,550
1,1,2,"128412","122",6,50,NA,NA,NA,NA,1230
1,1,2,"160512","112",6,48,NA,NA,NA,NA,730
1,1,2,"192612","122",6,15,NA,NA,NA,NA,700
1,1,2,"224712","122",6,14,NA,NA,NA,NA,690
1,1,2,"256812","112",6,10,NA,NA,NA,NA,160
1,1,2,"288912","112",6,50,NA,NA,NA,NA,760
1,1,2,"321012","112",6,40,NA,NA,NA,NA,610
1,1,2,"32112","112",7,50,NA,NA,NA,NA,880
1,1,2,"64212","122",7,20,NA,NA,NA,NA,560
1,1,2,"96312","122",7,10,NA,NA,NA,NA,410
1,1,2,"128412","122",7,50,NA,NA,NA,NA,1010
1,1,2,"160512","112",7,38,NA,NA,NA,NA,700
1,1,2,"192612","122",7,25,NA,NA,NA,NA,640
1,1,2,"224712","122",7,42,NA,NA,NA,NA,890
1,1,2,"256812","112",7,5,NA,NA,NA,NA,210
1,1,2,"288912","112",7,40,NA,NA,NA,NA,730
1,1,2,"321012","112",7,40,NA,NA,NA,NA,730
1,1,2,"32112","112",8,50,NA,NA,NA,NA,780
1,1,2,"64212","122",8,20,NA,NA,NA,NA,820
1,1,2,"96312","122",8,0,NA,NA,NA,NA,520
1,1,2,"128412","122",8,50,NA,NA,NA,NA,1270
1,1,2,"160512","112",8,50,NA,NA,NA,NA,780
1,1,2,"192612","122",8,15,NA,NA,NA,NA,740
1,1,2,"224712","122",8,11,NA,NA,NA,NA,680
1,1,2,"256812","112",8,4,NA,NA,NA,NA,90
1,1,2,"288912","112",8,50,NA,NA,NA,NA,780
1,1,2,"321012","112",8,40,NA,NA,NA,NA,630
1,1,2,"32112","112",9,50,NA,NA,NA,NA,830
1,1,2,"64212","122",9,20,NA,NA,NA,NA,780
1,1,2,"96312","122",9,2,NA,NA,NA,NA,510
1,1,2,"128412","122",9,45,NA,NA,NA,NA,1150
1,1,2,"160512","112",9,40,NA,NA,NA,NA,680
1,1,2,"192612","122",9,25,NA,NA,NA,NA,850
1,1,2,"224712","122",9,12,NA,NA,NA,NA,660
1,1,2,"256812","112",9,3,NA,NA,NA,NA,130
1,1,2,"288912","112",9,50,NA,NA,NA,NA,830
1,1,2,"321012","112",9,40,NA,NA,NA,NA,680
1,1,2,"32112","112",10,50,NA,NA,NA,NA,770
1,1,2,"64212","122",10,20,NA,NA,NA,NA,770
1,1,2,"96312","122",10,0,NA,NA,NA,NA,470
1,1,2,"128412","122",10,50,NA,NA,NA,NA,1220
1,1,2,"160512","112",10,30,NA,NA,NA,NA,470
1,1,2,"192612","122",10,15,NA,NA,NA,NA,700
1,1,2,"224712","122",10,20,NA,NA,NA,NA,770
1,1,2,"256812","112",10,25,NA,NA,NA,NA,400
1,1,2,"288912","112",10,50,NA,NA,NA,NA,770
1,1,2,"321012","112",10,40,NA,NA,NA,NA,620
1,1,2,"32112","112",11,50,0,NA,NA,1,0
1,1,2,"64212","122",11,0,-1,NA,NA,NA,690
1,1,2,"96312","122",11,5,0,NA,NA,0,770
1,1,2,"128412","122",11,40,1,15,1,NA,1290
1,1,2,"160512","112",11,35,1,40,0,NA,850
1,1,2,"192612","122",11,15,0,NA,NA,1,0
1,1,2,"224712","122",11,1,1,5,0,NA,960
1,1,2,"256812","112",11,10,-1,NA,NA,NA,220
1,1,2,"288912","112",11,50,1,50,1,NA,820
1,1,2,"321012","112",11,40,0,NA,NA,0,670
1,1,2,"32112","112",12,50,0,NA,NA,0,950
1,1,2,"64212","122",12,0,0,NA,NA,0,660
1,1,2,"96312","122",12,5,0,NA,NA,1,0
1,1,2,"128412","122",12,35,-1,NA,NA,NA,1190
1,1,2,"160512","112",12,25,1,40,1,NA,570
1,1,2,"192612","122",12,15,1,5,1,NA,890
1,1,2,"224712","122",12,12,1,0,0,NA,840
1,1,2,"256812","112",12,5,-1,NA,NA,NA,270
1,1,2,"288912","112",12,40,0,NA,NA,1,0
1,1,2,"321012","112",12,40,1,50,0,NA,1050
1,1,2,"32112","112",13,50,1,50,0,NA,1150
1,1,2,"64212","122",13,0,-1,NA,NA,NA,590
1,1,2,"96312","122",13,0,0,NA,NA,0,590
1,1,2,"128412","122",13,45,1,0,0,NA,1260
1,1,2,"160512","112",13,25,0,NA,NA,0,530
1,1,2,"192612","122",13,25,0,NA,NA,1,0
1,1,2,"224712","122",13,12,1,25,1,NA,770
1,1,2,"256812","112",13,4,-1,NA,NA,NA,210
1,1,2,"288912","112",13,50,0,NA,NA,0,900
1,1,2,"321012","112",13,40,1,25,0,NA,1000
